Messpkt.;Scherrate [1/s];Schubspannung [Pa];Viskosität [Pa·s];Drehzahl [1/min];Moment [µNm];Status
1;0,1;9,43;94,3;0,0168;309;Dy_auto
2;0,16;8,85;55,2;0,027;290;Dy_auto
3;0,258;8,97;34,8;0,0434;294;Dy_auto
4;0,414;9,71;23,5;0,0697;318;Dy_auto
5;0,664;11,5;17,4;0,112;378;Dy_auto
6;1,07;15;14,1;0,18;491;Dy_auto
7;1,71;20,9;12,2;0,288;685;Dy_auto
8;2,75;30;10,9;0,463;983;Dy_auto
9;4,41;45,2;10,3;0,742;1480;Dy_auto
10;7,07;68,9;9,74;1,19;2250;Dy_auto
11;11,4;107;9,42;1,91;3500;Dy_auto
12;18,2;169;9,3;3,07;5550;Dy_auto
13;29,2;269;9,2;4,92;8810;Dy_auto
14;46,9;427;9,1;7,91;14000;Dy_auto
15;75,3;679;9,01;12,7;22200;Dy_auto
16;121;1080;8,93;20,4;35400;Dy_auto
17;194;1720;8,85;32,7;56200;Dy_auto
18;312;2710;8,71;52,5;88800;Dy_auto
19;500;4240;8,48;84,2;139000;Dy_auto
