Messpkt.;Zeit [s];Schubspannung [Pa];Viskosität [Pa·s];Drehzahl [1/min];Moment [µNm];Status
1;21;26,3;263;0,0168;860;Dy_auto
2;22;26,4;264;0,0168;865;Dy_auto
3;23;26,4;265;0,0168;865;Dy_auto
4;24;26,4;264;0,0169;865;Dy_auto
5;25;26,4;264;0,0168;863;Dy_auto
6;26;26,3;264;0,0168;862;Dy_auto
7;27;26,3;263;0,0168;861;Dy_auto
8;28;26,3;263;0,0168;861;Dy_auto
9;29;26,2;262;0,0168;859;Dy_auto
10;30;26,2;262;0,0168;856;Dy_auto
1;31;141;0,282;84,2;4610;Dy_auto
2;32;144;0,288;84,2;4720;Dy_auto
3;33;145;0,29;84,2;4750;Dy_auto
4;34;146;0,291;84,2;4770;Dy_auto
5;35;145;0,29;84,2;4740;Dy_auto
6;36;145;0,289;84,2;4730;Dy_auto
7;37;144;0,287;84,2;4700;Dy_auto
8;38;143;0,285;84,2;4670;Dy_auto
9;39;143;0,287;84,2;4690;Dy_auto
10;40;141;0,283;84,2;4630;Dy_auto
1;41;8,57;85,7;0,0168;280;Dy_auto
2;42;9,19;91,9;0,0168;301;Dy_auto
3;43;9,46;94,6;0,0168;310;Dy_auto
4;44;9,67;96,6;0,0169;317;Dy_auto
5;45;9,82;98,2;0,0168;321;Dy_auto
6;46;9,88;98,9;0,0168;323;Dy_auto
7;47;9,96;99,6;0,0168;326;Dy_auto
8;48;10;100;0,0168;329;Dy_auto
9;49;10,1;101;0,0168;330;Dy_auto
10;50;10,1;101;0,0168;332;Dy_auto
11;51;10,2;102;0,0169;333;Dy_auto
12;52;10,2;102;0,0168;334;Dy_auto
13;53;10,2;102;0,0168;335;Dy_auto
14;54;10,2;102;0,0169;335;Dy_auto
15;55;10,2;102;0,0168;335;Dy_auto
16;56;10,2;102;0,0169;335;Dy_auto
17;57;10,2;102;0,0168;335;Dy_auto
18;58;10,3;102;0,0169;336;Dy_auto
19;59;10,3;103;0,0169;336;Dy_auto
20;60;10,3;103;0,0169;337;Dy_auto
21;61;10,3;103;0,0169;337;Dy_auto
22;62;10,3;103;0,0168;336;Dy_auto
23;63;10,2;102;0,0169;335;Dy_auto
24;64;10,3;103;0,0168;336;Dy_auto
25;65;10,3;102;0,0169;336;Dy_auto
26;66;10,3;103;0,0169;336;Dy_auto
27;67;10,2;102;0,0169;335;Dy_auto
28;68;10,3;103;0,0169;337;Dy_auto
29;69;10,3;103;0,0169;338;Dy_auto
30;70;10,3;103;0,0169;339;Dy_auto
31;71;10,3;103;0,0169;338;Dy_auto
32;72;10,3;103;0,0169;337;Dy_auto
33;73;10,3;103;0,0169;337;Dy_auto
34;74;10,3;102;0,0169;336;Dy_auto
35;75;10,3;102;0,0169;336;Dy_auto
36;76;10,3;103;0,0169;336;Dy_auto
37;77;10,3;103;0,0168;336;Dy_auto
38;78;10,3;103;0,0169;337;Dy_auto
39;79;10,3;103;0,0169;337;Dy_auto
40;80;10,3;103;0,0169;337;Dy_auto
41;81;10,3;103;0,0169;337;Dy_auto
42;82;10,3;103;0,0169;337;Dy_auto
43;83;10,3;103;0,0169;337;Dy_auto
44;84;10,3;103;0,0169;337;Dy_auto
45;85;10,3;103;0,0169;336;Dy_auto
46;86;10,3;103;0,0169;337;Dy_auto
47;87;10,3;103;0,0168;337;Dy_auto
48;88;10,3;103;0,0169;337;Dy_auto
49;89;10,3;103;0,0168;337;Dy_auto
50;90;10,3;103;0,0168;337;Dy_auto
51;91;10,3;103;0,0168;336;Dy_auto
52;92;10,2;103;0,0168;335;Dy_auto
53;93;10,3;103;0,0169;336;Dy_auto
54;94;10,2;103;0,0168;335;Dy_auto
55;95;10,2;102;0,0168;335;Dy_auto
56;96;10,2;103;0,0168;335;Dy_auto
57;97;10,2;102;0,0168;334;Dy_auto
58;98;10,3;103;0,0168;336;Dy_auto
59;99;10,3;103;0,0168;337;Dy_auto
60;100;10,3;103;0,0169;336;Dy_auto
61;101;10,3;103;0,0168;337;Dy_auto
62;102;10,3;103;0,0168;337;Dy_auto
63;103;10,3;103;0,0168;336;Dy_auto
64;104;10,3;103;0,0168;338;Dy_auto
65;105;10,3;103;0,0168;336;Dy_auto
66;106;10,3;103;0,0168;336;Dy_auto
67;107;10,2;102;0,0169;335;Dy_auto
68;108;10,2;103;0,0168;335;Dy_auto
69;109;10,2;102;0,0169;334;Dy_auto
70;110;10,2;102;0,0169;333;Dy_auto
71;111;10,2;102;0,0168;333;Dy_auto
72;112;10,2;102;0,0169;334;Dy_auto
73;113;10,2;102;0,0168;335;Dy_auto
74;114;10,2;102;0,0169;334;Dy_auto
75;115;10,2;102;0,0168;333;Dy_auto
76;116;10,2;102;0,0169;333;Dy_auto
77;117;10,2;102;0,0168;333;Dy_auto
78;118;10,2;102;0,0168;333;Dy_auto
79;119;10,2;102;0,0168;332;Dy_auto
80;120;10,2;102;0,0168;333;Dy_auto
81;121;10,1;101;0,0168;332;Dy_auto
82;122;10,1;102;0,0168;332;Dy_auto
83;123;10,2;102;0,0168;332;Dy_auto
84;124;10,1;101;0,0168;331;Dy_auto
85;125;10,1;101;0,0168;331;Dy_auto
86;126;10,1;101;0,0168;331;Dy_auto
87;127;10,1;101;0,0168;330;Dy_auto
88;128;10,1;101;0,0168;332;Dy_auto
89;129;10,1;101;0,0168;331;Dy_auto
90;130;10,1;101;0,0168;331;Dy_auto
91;131;10,1;101;0,0168;331;Dy_auto
92;132;10,1;101;0,0168;332;Dy_auto
93;133;10,1;101;0,0168;331;Dy_auto
94;134;10,1;101;0,0168;330;Dy_auto
95;135;10,1;101;0,0168;332;Dy_auto
96;136;10,1;101;0,0168;331;Dy_auto
97;137;10;100;0,0168;328;Dy_auto
98;138;10,1;101;0,0168;329;Dy_auto
99;139;10,1;101;0,0169;330;Dy_auto
100;140;10,1;101;0,0168;331;Dy_auto
