Filename:	C:\Users\DSC\Desktop\MD\G7\G7-pet-tga.t6d 
Operator ID:	MD 
Sample ID:	G7-PET 
Comment: 	 
Serial Number:	016120108 
Data Collected:	09.03.2026 10:32:07 
Sample Weight:	2.644 mg 
Display Weight:	2.644 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files (x86)\PerkinElmer\Pyris\Calibrations\05_Okt_2017.t6c 
Date/Time:	 
Initial Conditions 
Temperature:	 30.00 °C 
Baseline Filename:	 
End Condition:	Go To Load 
Total Points in Run:	1710 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Heat from 30.00°C to 600.00°C at 20.00°C/min 
 
1) TGA Temperature Scan 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	R25 Diagnostic 
	          	Weight     	Weight     	Temperature	Temperature	Gas Flow     	Temperature 
	0.000000	3.719418	0.000000	30.333333	30.910000	19.800000	0.000000 
	0.016667	3.725735	0.000000	30.333333	30.910000	19.800000	0.000000 
	0.033333	3.724050	0.000000	30.666667	30.910000	19.800000	0.000000 
	0.050000	3.725735	0.000000	31.000000	30.910000	19.800000	0.000000 
	0.066667	3.719839	0.000000	31.333333	30.910000	19.800000	0.000000 
	0.083333	3.718576	0.000000	31.666667	30.910000	19.800000	0.000000 
	0.100000	3.717734	0.000000	32.000000	30.910000	19.800000	0.000000 
	0.116667	3.717312	0.000000	32.333333	30.910000	19.800000	0.000000 
	0.133333	3.719208	0.000000	32.666667	30.910000	19.800000	0.000000 
	0.150000	3.719208	0.000000	33.000000	30.920000	19.800000	0.000000 
	0.166667	3.718786	0.000000	33.333333	30.920000	19.800000	0.000000 
	0.183333	3.718576	0.000000	33.666667	30.920000	19.800000	0.000000 
	0.200000	3.719418	0.000000	34.000000	30.930000	19.800000	0.000000 
	0.216667	3.720471	0.000000	34.333333	30.940000	19.800000	0.000000 
	0.233333	3.721313	0.000000	34.666667	30.950000	19.800000	0.000000 
	0.250000	3.720471	0.000000	35.000000	30.970000	19.800000	0.000000 
	0.266667	3.720892	0.000000	35.333333	30.990000	19.800000	0.000000 
	0.283333	3.722577	0.000000	35.666667	31.020000	19.800000	0.000000 
	0.300000	3.722787	0.000000	36.000000	31.060000	19.800000	0.000000 
	0.316667	3.721313	0.000000	36.333333	31.100000	19.800000	0.000000 
	0.333333	3.722366	0.000000	36.666667	31.150000	19.800000	0.000000 
	0.350000	3.718155	0.000000	37.000000	31.210000	19.800000	0.000000 
	0.366667	3.711838	0.000000	37.333333	31.270000	19.800000	0.000000 
	0.383333	3.715839	0.000000	37.666667	31.330000	19.800000	0.000000 
	0.400000	3.713522	0.000000	38.000000	31.410000	19.800000	0.000000 
	0.416667	3.727841	0.000000	38.333333	31.480000	19.800000	0.000000 
	0.433333	3.727841	0.000000	38.666667	31.560000	19.800000	0.000000 
	0.450000	3.727419	0.000000	39.000000	31.640000	19.800000	0.000000 
	0.466667	3.728051	0.000000	39.333333	31.730000	19.800000	0.000000 
	0.483333	3.727630	0.000000	39.666667	31.820000	19.800000	0.000000 
	0.500000	3.727419	0.000000	40.000000	31.920000	19.800000	0.000000 
	0.516667	3.727630	0.000000	40.333333	32.010000	19.800000	0.000000 
	0.533333	3.727630	0.000000	40.666667	32.120000	19.800000	0.000000 
	0.550000	3.728051	0.000000	41.000000	32.220000	19.800000	0.000000 
	0.566667	3.728051	0.000000	41.333333	32.330000	19.800000	0.000000 
	0.583333	3.728262	0.000000	41.666667	32.440000	19.800000	0.000000 
	0.600000	3.728893	0.000000	42.000000	32.550000	19.800000	0.000000 
	0.616667	3.729104	0.000000	42.333333	32.670000	19.800000	0.000000 
	0.633333	3.729736	0.000000	42.666667	32.790000	19.800000	0.000000 
	0.650000	3.729525	0.000000	43.000000	32.920000	19.800000	0.000000 
	0.666667	3.729946	0.000000	43.333333	33.050000	19.800000	0.000000 
	0.683333	3.730367	0.000000	43.666667	33.180000	19.800000	0.000000 
	0.700000	3.730788	0.000000	44.000000	33.310000	19.800000	0.000000 
