Umsatz (%),Reaktionsgeschwindigkeit (v_p)
0.0,0.25
0.25,0.2488
0.5,0.2475
0.75,0.2463
0.99,0.2451
1.24,0.2438
1.48,0.2426
1.72,0.2414
1.97,0.2402
2.21,0.239
2.44,0.2379
2.68,0.2367
2.92,0.2355
3.15,0.2344
3.39,0.2332
3.62,0.2321
3.85,0.2309
4.09,0.2298
4.32,0.2287
4.54,0.2276
4.77,0.2265
5.0,0.2254
5.22,0.2243
5.45,0.2232
5.67,0.2221
5.89,0.221
6.11,0.2199
6.33,0.2189
6.55,0.2178
6.77,0.2168
6.99,0.2157
7.2,0.2147
7.42,0.2137
7.63,0.2126
7.84,0.2116
8.06,0.2106
8.27,0.2096
8.48,0.2086
8.68,0.2076
8.89,0.2066
9.1,0.2056
9.3,0.2046
9.51,0.2037
9.71,0.2027
9.92,0.2018
10.12,0.2008
10.32,0.1998
10.52,0.1989
10.72,0.198
10.91,0.197
11.11,0.1961
11.31,0.1952
11.5,0.1943
11.7,0.1934
11.89,0.1925
12.08,0.1916
12.27,0.1907
12.47,0.1898
12.66,0.1889
12.84,0.188
13.03,0.1871
13.22,0.1863
13.41,0.1854
13.59,0.1845
13.78,0.1837
13.96,0.1828
14.14,0.182
14.32,0.1812
14.5,0.1803
14.69,0.1795
14.86,0.1787
15.04,0.1778
15.22,0.177
15.4,0.1762
15.57,0.1754
15.75,0.1746
15.92,0.1738
16.1,0.173
16.27,0.1722
16.44,0.1715
16.62,0.1707
16.79,0.1699
16.96,0.1691
17.12,0.1684
17.29,0.1676
17.46,0.1668
17.63,0.1661
17.79,0.1653
17.96,0.1646
18.12,0.1639
18.29,0.1631
18.45,0.1624
18.61,0.1617
18.77,0.1609
18.94,0.1602
19.1,0.1595
19.26,0.1588
19.41,0.1581
19.57,0.1574
19.73,0.1567
19.89,0.156
20.04,0.1553
20.2,0.1546
20.35,0.1539
20.51,0.1532
20.66,0.1526
20.81,0.1519
20.96,0.1512
21.11,0.1505
21.27,0.1499
21.42,0.1492
21.56,0.1486
21.71,0.1479
21.86,0.1473
22.01,0.1466
22.15,0.146
22.3,0.1453
22.45,0.1447
22.59,0.1441
22.74,0.1435
22.88,0.1428
23.02,0.1422
23.16,0.1416
23.31,0.141
23.45,0.1404
23.59,0.1398
23.73,0.1392
23.87,0.1386
24.0,0.138
24.14,0.1374
24.28,0.1368
24.42,0.1362
24.55,0.1356
24.69,0.135
24.82,0.1344
24.96,0.1339
25.09,0.1333
25.22,0.1327
25.36,0.1322
25.49,0.1316
25.62,0.131
25.75,0.1305
25.88,0.1299
26.01,0.1294
26.14,0.1288
26.27,0.1283
26.4,0.1277
26.53,0.1272
26.65,0.1267
26.78,0.1261
26.91,0.1256
27.03,0.1251
27.16,0.1245
27.28,0.124
27.41,0.1235
27.53,0.123
27.65,0.1225
27.77,0.1219
27.9,0.1214
28.02,0.1209
28.14,0.1204
28.26,0.1199
28.38,0.1194
28.5,0.1189
28.62,0.1184
28.74,0.1179
28.85,0.1175
28.97,0.117
29.09,0.1165
29.21,0.116
29.32,0.1155
29.44,0.115
29.55,0.1146
29.67,0.1141
29.78,0.1136
29.89,0.1132
30.01,0.1128
30.12,0.1132
30.23,0.1137
30.35,0.1142
30.46,0.1148
30.58,0.1153
30.69,0.1158
30.81,0.1163
30.92,0.1168
31.04,0.1174
31.16,0.1179
31.28,0.1185
31.39,0.119
31.51,0.1196
31.63,0.1201
31.75,0.1207
31.87,0.1213
31.99,0.1219
32.12,0.1225
32.24,0.1231
32.36,0.1237
32.49,0.1243
32.61,0.1249
32.73,0.1255
32.86,0.1262
32.99,0.1268
33.11,0.1275
33.24,0.1281
33.37,0.1288
33.5,0.1295
33.63,0.1301
33.76,0.1308
33.89,0.1315
34.02,0.1322
34.15,0.133
34.28,0.1337
34.42,0.1344
34.55,0.1352
34.69,0.1359
34.82,0.1367
34.96,0.1375
35.1,0.1382
35.24,0.139
35.38,0.1398
35.52,0.1407
35.66,0.1415
35.8,0.1423
35.94,0.1432
36.08,0.144
36.23,0.1449
36.37,0.1458
36.52,0.1467
36.66,0.1476
36.81,0.1485
36.96,0.1495
37.11,0.1504
37.26,0.1514
37.41,0.1524
37.56,0.1534
37.72,0.1544
37.87,0.1554
38.03,0.1564
38.18,0.1575
38.34,0.1585
38.5,0.1596
38.66,0.1607
38.82,0.1618
38.98,0.163
39.14,0.1641
39.31,0.1653
39.47,0.1665
39.64,0.1677
39.81,0.1689
39.98,0.1702
40.15,0.1714
40.32,0.1727
40.49,0.174
40.67,0.1754
40.84,0.1767
41.02,0.1781
41.2,0.1795
41.38,0.1809
41.56,0.1824
41.74,0.1839
41.92,0.1854
42.11,0.1869
42.29,0.1884
42.48,0.19
42.67,0.1916
42.86,0.1933
43.06,0.1949
43.25,0.1966
43.45,0.1984
43.65,0.2001
43.85,0.2019
44.05,0.2038
44.25,0.2056
44.46,0.2075
44.67,0.2095
44.88,0.2115
45.09,0.2135
45.3,0.2156
45.52,0.2177
45.73,0.2198
45.95,0.222
46.18,0.2242
46.4,0.2265
46.63,0.2289
46.86,0.2313
47.09,0.2337
47.32,0.2362
47.56,0.2387
47.8,0.2413
48.04,0.244
48.28,0.2467
48.53,0.2495
48.78,0.2523
49.03,0.2553
49.29,0.2582
49.54,0.2613
49.8,0.2644
50.07,0.2676
50.34,0.2709
50.61,0.2743
50.88,0.2777
51.16,0.2813
51.44,0.2849
51.73,0.2886
52.01,0.2924
52.31,0.2964
52.6,0.3004
52.9,0.3045
53.21,0.3088
53.52,0.3131
53.83,0.3176
54.15,0.3222
54.47,0.327
54.8,0.3319
55.13,0.3369
55.47,0.3421
55.81,0.3474
56.16,0.3529
56.51,0.3585
56.87,0.3643
57.23,0.3703
57.6,0.3765
57.98,0.3829
58.36,0.3895
58.75,0.3963
59.15,0.4033
59.55,0.4106
59.96,0.4181
60.38,0.4258
60.8,0.4338
61.24,0.4421
61.68,0.4507
62.13,0.4595
62.59,0.4687
63.06,0.4782
63.54,0.488
64.03,0.4982
64.52,0.5087
65.03,0.5196
65.55,0.5309
66.08,0.5426
66.63,0.5547
67.18,0.5673
67.75,0.5802
68.33,0.5937
68.92,0.6075
69.53,0.6219
70.15,0.6367
70.79,0.6519
71.44,0.6677
72.11,0.6838
72.79,0.7004
73.49,0.7174
74.21,0.7347
74.94,0.7523
75.7,0.7702
76.47,0.7881
77.25,0.8061
78.06,0.8239
78.88,0.8414
79.73,0.8584
80.58,0.8745
81.46,0.8895
82.35,0.903
83.25,0.9146
84.17,0.9237
85.09,0.9299
86.02,0.9325
86.95,0.9311
87.88,0.9248
88.81,0.9133
89.72,0.896
90.62,0.8726
91.49,0.8429
92.33,0.8069
93.14,0.7651
93.9,0.7181
94.62,0.6669
95.29,0.6126
95.9,0.5566
96.46,0.5003
96.96,0.4449
97.4,0.3917
97.8,0.3417
98.14,0.2955
98.43,0.2535
98.69,0.2161
98.9,0.183
99.09,0.1542
99.24,0.1294
99.37,0.1081
99.48,0.0901
99.57,0.0749
99.64,0.0621
99.7,0.0514
99.76,0.0426
99.8,0.0352
99.83,0.029
99.86,0.024
99.89,0.0198
