Potential applied (V)	WE(1).Current (A)
0.01007080078125	-1.4447021484375E-07
0.0201416015625	-7.1685791015625E-08
0.03021240234375	-1.08642578125E-08
0.040283203125	4.071044921875E-08
0.05035400390625	8.89892578125E-08
0.0604248046875	1.32476806640625E-07
0.07049560546875	1.74652099609375E-07
0.08056640625	2.174072265625E-07
0.09063720703125	2.6385498046875E-07
0.1007080078125	3.14483642578125E-07
0.11077880859375	3.68011474609375E-07
0.120849609375	4.25018310546875E-07
0.13092041015625	4.8193359375E-07
0.1409912109375	5.39703369140625E-07
0.15106201171875	6.009521484375E-07
0.1611328125	6.732177734375E-07
0.17120361328125	7.5439453125E-07
0.1812744140625	8.4991455078125E-07
0.19134521484375	9.8052978515625E-07
0.201416015625	1.209716796875E-06
0.21148681640625	1.3824462890625E-06
0.2215576171875	1.38671875E-06
0.23162841796875	1.30340576171875E-06
0.24169921875	1.1590576171875E-06
0.25177001953125	9.5672607421875E-07
0.2618408203125	7.6019287109375E-07
0.27191162109375	6.6253662109375E-07
0.281982421875	6.23779296875E-07
0.29205322265625	6.207275390625E-07
0.3021240234375	6.3507080078125E-07
0.31219482421875	6.6162109375E-07
0.322265625	6.9854736328125E-07
0.33233642578125	7.53173828125E-07
0.3424072265625	8.154296875E-07
0.35247802734375	8.94775390625E-07
0.362548828125	9.97314453125E-07
0.37261962890625	1.119384765625E-06
0.3826904296875	1.251220703125E-06
0.39276123046875	1.34918212890625E-06
0.40283203125	1.34124755859375E-06
0.39276123046875	5.8380126953125E-07
0.3826904296875	2.55126953125E-07
0.37261962890625	8.0352783203125E-08
0.362548828125	-2.0751953125E-08
0.35247802734375	-8.7066650390625E-08
0.3424072265625	-1.2896728515625E-07
0.33233642578125	-1.5478515625E-07
0.322265625	-1.739501953125E-07
0.31219482421875	-1.89208984375E-07
0.3021240234375	-2.0013427734375E-07
0.29205322265625	-2.1038818359375E-07
0.281982421875	-2.1600341796875E-07
0.27191162109375	-2.24090576171875E-07
0.2618408203125	-2.31903076171875E-07
0.25177001953125	-2.37030029296875E-07
0.24169921875	-2.4456787109375E-07
0.23162841796875	-2.5030517578125E-07
0.2215576171875	-2.58270263671875E-07
0.21148681640625	-2.65869140625E-07
0.201416015625	-2.734375E-07
0.19134521484375	-2.808837890625E-07
0.1812744140625	-2.880859375E-07
0.17120361328125	-2.965087890625E-07
0.1611328125	-3.0645751953125E-07
0.15106201171875	-3.15582275390625E-07
0.1409912109375	-3.23974609375E-07
0.13092041015625	-3.32061767578125E-07
