Datenreihen-Informationen
Name:			260318-orx 1
Probe:			260318-Meiststärke
Anzahl Abschnitte:			1
Applikation:			RHEOPLUS/32 V3.40 21004777-33024
Messgerät:			MCR301 SN80696667; FW3.40D090210; Adj5780d
Datum/Zeit:			18.03.2026; 09:50
Messsystem:			CP50-1-SN20186; d=0,103 mm
Zusatzgeräte:			TU1=P-PTD200-SN80709695

Abschnitt:			1
Anzahl Messpunkte:			21

Zeitvorgabe:			21 Messpunkte, Deformation rücksetzen
			Messpunktdauer 5 s
Messprofil:
  Scherrate			d(gamma)/dt = 1 ... 100 1/s log; |Steigung| = 10 Pkt. / dec 

Messpkt.	Scherrate	Schubspannung	Viskosität	Drehzahl	Moment	Status
	[1/s]	[Pa]	[Pa·s]	[1/min]	[µNm]	[]
1	1	0,0358	0,0358	0,168	1,17	Dy_auto
2	1,26	0,0436	0,0346	0,212	1,43	Dy_auto
3	1,58	0,0457	0,0288	0,267	1,5	Dy_auto
4	1,99	0,0565	0,0283	0,336	1,85	Dy_auto
5	2,51	0,0718	0,0286	0,423	2,35	Dy_auto
6	3,16	0,0885	0,028	0,533	2,9	Dy_auto
7	3,98	0,107	0,0269	0,671	3,51	Dy_auto
8	5,01	0,142	0,0282	0,844	4,63	Dy_auto
9	6,31	0,18	0,0286	1,06	5,9	Dy_auto
10	7,94	0,244	0,0307	1,34	7,98	Dy_auto
11	10	0,321	0,0321	1,68	10,5	Dy_auto
12	12,6	0,423	0,0336	2,12	13,9	Dy_auto
13	15,8	0,59	0,0372	2,67	19,3	Dy_auto
14	20	0,864	0,0433	3,36	28,3	Dy_auto
15	25,1	1,24	0,0493	4,23	40,5	Dy_auto
16	31,6	1,7	0,0538	5,33	55,7	Dy_auto
17	39,8	2,37	0,0595	6,71	77,5	Dy_auto
18	50,1	3,22	0,0642	8,44	105	Dy_auto
19	63,1	4,42	0,07	10,6	145	Dy_auto
20	79,4	6,28	0,0791	13,4	206	Dy_auto
21	100	9,08	0,0908	16,8	297	Dy_auto
