Messpkt.;Scherrate [1/s];Schubspannung [Pa];Viskosität [Pa·s];Drehzahl [1/min];Moment [µNm];Status
1;5000;775;0,155;842;25400;Dy_auto
2;3690;608;0,165;621;19900;Dy_auto
3;2720;474;0,174;458;15500;Dy_auto
4;2010;367;0,183;338;12000;Dy_auto
5;1480;281;0,19;249;9210;Dy_auto
6;1090;214;0,196;184;7010;Dy_auto
7;806;162;0,201;136;5300;Dy_auto
8;595;122;0,205;100;3990;Dy_auto
9;439;91,1;0,208;73,9;2980;Dy_auto
10;324;67,8;0,21;54,5;2220;Dy_auto
11;239;50,4;0,211;40,2;1650;Dy_auto
12;176;37,3;0,212;29,7;1220;Dy_auto
13;130;27,6;0,213;21,9;904;Dy_auto
14;95,8;20,4;0,213;16,1;669;Dy_auto
15;70,7;15,1;0,213;11,9;494;Dy_auto
16;52,2;11,1;0,214;8,79;365;Dy_auto
17;38,5;8,21;0,213;6,48;269;Dy_auto
18;28,4;6,08;0,214;4,78;199;Dy_auto
19;20,9;4,48;0,214;3,53;147;Dy_auto
20;15,5;3,29;0,213;2,6;108;Dy_auto
21;11,4;2,44;0,214;1,92;79,8;Dy_auto
22;8,41;1,81;0,215;1,42;59,1;Dy_auto
23;6,2;1,34;0,215;1,04;43,7;Dy_auto
24;4,58;0,997;0,218;0,771;32,6;Dy_auto
25;3,38;0,742;0,22;0,569;24,3;Dy_auto
26;2,49;0,548;0,22;0,42;17,9;Dy_auto
27;1,84;0,408;0,222;0,309;13,3;Dy_auto
28;1,36;0,307;0,226;0,228;10;Dy_auto
29;1;0,231;0,231;0,168;7,57;Dy_auto
