Datenreihen-Informationen
Name:			AS 1
Anzahl Abschnitte:			1
Applikation:			RHEOPLUS/32 V3.40 21004777-33024
Messgerät:			MCR301 SN80696667; FW3.40D090210; Adj5780d
Datum/Zeit:			18.03.2026; 10:11
Messsystem:			CP50-1-SN20186; d=0,103 mm
Zusatzgeräte:			TU1=P-PTD200-SN80709695

Umrechnungskonstanten:
- Csr [min/s]:			5,936858
- Css [Pa/mNm]:			30,552382
- Startverzögerungszeit [s]:			6,638
- Substanzdichte [rho]:			1.000
- Messsystem-Typ:			0
- Motorkorrekturfaktor:			1

Abschnitt:			1
Anzahl Messpunkte:			27

Zeitvorgabe:			27 Messpunkte
Messprofil:
- Deformation			Amplitude gamma = 5.000 ... 1 % log; |Steigung| = 7,0289837 Pkt. / dec 
			Kreisfrequenz omega = 10 rad/s

Messpkt.	Deformation	Schubspannung	Speichermodul	Verlustmodul	Betrag(Viskosität)	Verlustfaktor	Auslenkwinkel	Moment	Status
	[%]	[Pa]	[Pa]	[Pa]	[Pa·s]	[1]	[mrad]	[µNm]	[]
1	4.990	3,45E+2	0	6,91E0	0,691	1.000.000.000.000.000.000.000.000.000.000	881	11.300	ME-,taD
2	3.610	2,59E+2	5,2E-3	7,19E0	0,719	1.380	636	8.480
3	2.600	1,93E+2	2,38E-2	7,41E0	0,741	311	459	6.310
4	1.870	1,42E+2	4,73E-2	7,6E0	0,76	161	330	4.660
5	1.350	1,05E+2	6,27E-2	7,75E0	0,775	124	238	3.420
6	973	7,65E+1	7,52E-2	7,86E0	0,786	104	172	2.500
7	701	5,57E+1	8,53E-2	7,94E0	0,794	93,1	124	1.820
8	506	4,04E+1	9,39E-2	8E0	0,8	85,2	89,2	1.320
9	364	2,93E+1	1,02E-1	8,03E0	0,803	78,9	64,3	958
10	263	2,12E+1	1,09E-1	8,06E0	0,806	74,3	46,3	693
11	189	1,53E+1	1,14E-1	8,07E0	0,807	71	33,3	499
12	136	1,1E+1	1,18E-1	8,08E0	0,808	68,6	24	360
13	98,2	7,94E0	1,17E-1	8,09E0	0,809	69	17,3	260
14	70,7	5,72E0	1,2E-1	8,09E0	0,809	67,3	12,5	187
15	51	4,13E0	1,18E-1	8,09E0	0,809	68,4	8,99	135
16	36,7	2,98E0	1,22E-1	8,1E0	0,81	66,2	6,48	97,4
17	26,5	2,14E0	1,2E-1	8,1E0	0,81	67,4	4,67	70,2
18	19,1	1,55E0	1,17E-1	8,1E0	0,81	69,5	3,36	50,6
19	13,7	1,12E0	1,2E-1	8,11E0	0,811	67,9	2,42	36,5
20	9,91	8,04E-1	1,16E-1	8,12E0	0,812	70	1,75	26,3
21	7,15	5,8E-1	1,23E-1	8,11E0	0,811	65,8	1,26	19
22	5,14	4,17E-1	1,28E-1	8,12E0	0,812	63,7	0,907	13,7
23	3,71	3,01E-1	1,38E-1	8,1E0	0,81	58,7	0,655	9,85
24	2,67	2,16E-1	1,37E-1	8,1E0	0,81	59,3	0,471	7,08
25	1,93	1,56E-1	1,21E-1	8,09E0	0,809	66,9	0,34	5,11
26	1,39	1,12E-1	1,75E-1	8,07E0	0,808	46,2	0,245	3,67
27	1,01	8,14E-2	1,51E-1	8,08E0	0,809	53,6	0,178	2,66
