Messpkt.;Zeit [s];Schubspannung [Pa];Viskosität [Pa·s];Drehzahl [1/min];Moment [µNm];Status
1;21;7,98;79,7;0,0169;261;Dy_auto
2;22;8,02;80,2;0,0168;262;Dy_auto
3;23;8,03;80,3;0,0169;263;Dy_auto
4;24;8,07;80,7;0,0168;264;Dy_auto
5;25;8,08;80,7;0,0169;264;Dy_auto
6;26;8,1;80,9;0,0169;265;Dy_auto
7;27;8,12;81;0,0169;266;Dy_auto
8;28;8,13;81,2;0,0169;266;Dy_auto
9;29;8,1;81;0,0169;265;Dy_auto
10;30;8,13;81,2;0,0169;266;Dy_auto
1;31;142;0,284;84,2;4640;Dy_auto
2;32;139;0,278;84,2;4560;Dy_auto
3;33;139;0,278;84,2;4550;Dy_auto
4;34;139;0,278;84,2;4550;Dy_auto
5;35;140;0,281;84,2;4600;Dy_auto
6;36;141;0,281;84,2;4600;Dy_auto
7;37;141;0,282;84,2;4610;Dy_auto
8;38;142;0,284;84,2;4650;Dy_auto
9;39;141;0,282;84,2;4610;Dy_auto
10;40;139;0,278;84,2;4540;Dy_auto
1;41;6,88;68,9;0,0168;225;Dy_auto
2;42;7,37;73,6;0,0169;241;Dy_auto
3;43;7,71;77,2;0,0168;253;Dy_auto
4;44;7,93;79,2;0,0168;259;Dy_auto
5;45;8,07;80,6;0,0169;264;Dy_auto
6;46;8,18;81,8;0,0169;268;Dy_auto
7;47;8,22;82,1;0,0169;269;Dy_auto
8;48;8,19;81,7;0,0169;268;Dy_auto
9;49;8,3;82,8;0,0169;272;Dy_auto
10;50;8,35;83,5;0,0168;273;Dy_auto
11;51;8,32;83;0,0169;272;Dy_auto
12;52;8,36;83,6;0,0168;274;Dy_auto
13;53;8,41;84;0,0169;275;Dy_auto
14;54;8,47;84,6;0,0169;277;Dy_auto
15;55;8,52;85,2;0,0168;279;Dy_auto
16;56;8,56;85,7;0,0168;280;Dy_auto
17;57;8,61;86,1;0,0168;282;Dy_auto
18;58;8,65;86,6;0,0168;283;Dy_auto
19;59;8,69;87;0,0168;285;Dy_auto
20;60;8,73;87,4;0,0168;286;Dy_auto
21;61;8,77;87,8;0,0168;287;Dy_auto
22;62;8,77;87,7;0,0168;287;Dy_auto
23;63;8,77;87,8;0,0168;287;Dy_auto
24;64;8,82;88,2;0,0168;289;Dy_auto
25;65;8,86;88,7;0,0168;290;Dy_auto
26;66;8,89;88,9;0,0168;291;Dy_auto
27;67;8,87;88,9;0,0168;290;Dy_auto
28;68;8,83;88,3;0,0168;289;Dy_auto
29;69;8,91;89,2;0,0168;292;Dy_auto
30;70;8,95;89,5;0,0168;293;Dy_auto
31;71;9,02;90,2;0,0168;295;Dy_auto
32;72;9,08;90,9;0,0168;297;Dy_auto
33;73;9,13;91,4;0,0168;299;Dy_auto
34;74;9,12;91,2;0,0168;298;Dy_auto
35;75;9,24;92,5;0,0168;303;Dy_auto
36;76;9,31;93,3;0,0168;305;Dy_auto
37;77;9,31;93,1;0,0168;305;Dy_auto
38;78;9,32;93,1;0,0169;305;Dy_auto
39;79;9,26;92,7;0,0168;303;Dy_auto
40;80;9,33;93,3;0,0169;305;Dy_auto
41;81;9,41;94;0,0169;308;Dy_auto
42;82;9,38;93,8;0,0168;307;Dy_auto
43;83;9,26;92,5;0,0169;303;Dy_auto
44;84;9,16;91,6;0,0168;300;Dy_auto
45;85;9,09;90,8;0,0169;298;Dy_auto
46;86;9,04;90,3;0,0169;296;Dy_auto
47;87;9,09;90,8;0,0169;298;Dy_auto
48;88;9,18;91,7;0,0169;300;Dy_auto
49;89;9,12;91,2;0,0168;298;Dy_auto
50;90;9,24;92,4;0,0168;302;Dy_auto
51;91;9,15;91,6;0,0168;300;Dy_auto
52;92;9,18;91,8;0,0168;300;Dy_auto
53;93;9,13;91,3;0,0168;299;Dy_auto
54;94;9,19;91,8;0,0169;301;Dy_auto
55;95;9,21;92,1;0,0168;301;Dy_auto
56;96;9,22;92,3;0,0168;302;Dy_auto
57;97;9,26;92,8;0,0168;303;Dy_auto
58;98;9,23;92,4;0,0168;302;Dy_auto
59;99;9,28;93;0,0168;304;Dy_auto
60;100;9,26;92,6;0,0168;303;Dy_auto
61;101;9,32;93,2;0,0168;305;Dy_auto
62;102;9,36;93,6;0,0168;306;Dy_auto
63;103;9,41;94,1;0,0168;308;Dy_auto
64;104;9,38;93,8;0,0168;307;Dy_auto
65;105;9,33;93,2;0,0169;305;Dy_auto
66;106;9,39;93,9;0,0169;307;Dy_auto
67;107;9,36;93,5;0,0169;306;Dy_auto
68;108;9,32;93,2;0,0168;305;Dy_auto
69;109;9,36;93,4;0,0169;306;Dy_auto
70;110;9,32;93,3;0,0168;305;Dy_auto
71;111;8,53;85,4;0,0168;279;Dy_auto
72;112;9,34;93,5;0,0168;306;Dy_auto
73;113;9,3;93,1;0,0168;305;Dy_auto
74;114;9,31;93,2;0,0168;305;Dy_auto
75;115;9,34;93,4;0,0168;306;Dy_auto
76;116;9,38;93,8;0,0168;307;Dy_auto
77;117;9,36;93,5;0,0169;307;Dy_auto
78;118;9,27;92,6;0,0169;303;Dy_auto
79;119;9,32;93,2;0,0169;305;Dy_auto
80;120;9,32;93,1;0,0169;305;Dy_auto
81;121;9,34;93,4;0,0168;306;Dy_auto
82;122;9,32;93,3;0,0168;305;Dy_auto
